Signal Time,Game,Player,Market,Side,Line,Odds,Book,EV %,Hit Rate %,Num Games,Baba Lock?,Confirmation Books,Player ID,Event ID,Commence Time,Market Key,Resolved?,Actual Outcome,Actual Stat,Resolved Time,Notes
2026-03-01T17:56:50.777080-05:00,DAL Mavericks vs OKC Thunder (8:10 PM EST),Cason Wallace,Rebounds Assists,Over,6.5,110,BetMGM,2.82,90.0,10,False,"FD at -108, DK at -105, ESPN at 105",56677833,3d268484ec4724f35d87620826643242,2026-03-02T01:10:00+00:00,player_rebounds_assists,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T17:56:57.619026-05:00,LAC Clippers vs NOP Pelicans (9:10 PM EST),Dejounte Murray,Threes,Under,1.5,-105,BetMGM,8.23,50.0,2,False,"FD at -142, DK at -119, ESPN at -115",334,7ef96743c87da2d41e5269fb5d3ac078,2026-03-02T02:10:00+00:00,player_threes,True,Void,DNP or no data,2026-03-02T08:12:37.983154+00:00,No game log found (possible DNP or API delay)
2026-03-01T18:00:29.454409-05:00,BOS Celtics vs PHI 76ers (8:10 PM EST),Baylor Scheierman,Points,Under,7.5,-105,theScore,2.79,40.0,10,False,"FD at -128, DK at -119, ESPN at -105",1028028434,7129ee2856df2237632c277ccbc657f7,2026-03-02T01:10:00+00:00,player_points,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T18:00:36.254118-05:00,BOS Celtics vs PHI 76ers (8:10 PM EST),Kelly Oubre Jr,Rebounds,Over,4.5,-105,HardRockBet,4.08,60.0,10,False,"FD at -130, DK at -123, ESPN at -120",360,7129ee2856df2237632c277ccbc657f7,2026-03-02T01:10:00+00:00,player_rebounds,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T18:00:41.624436-05:00,BOS Celtics vs PHI 76ers (8:10 PM EST),Baylor Scheierman,Rebounds,Over,4.5,105,BetMGM,2.5,70.0,10,False,"FD at -113, DK at -131, ESPN at -115",1028028434,7129ee2856df2237632c277ccbc657f7,2026-03-02T01:10:00+00:00,player_rebounds,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T18:00:44.523822-05:00,BOS Celtics vs PHI 76ers (8:10 PM EST),Payton Pritchard,Assists,Under,5.5,-115,HardRockBet,3.64,40.0,10,False,"FD at -142, DK at -142, ESPN at -140",3547276,7129ee2856df2237632c277ccbc657f7,2026-03-02T01:10:00+00:00,player_assists,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T18:00:51.220947-05:00,BOS Celtics vs PHI 76ers (8:10 PM EST),Tyrese Maxey,Rebounds Assists,Under,10.5,-105,BetMGM,4.08,50.0,10,False,"FD at -130, DK at -126, ESPN at -125",3547254,7129ee2856df2237632c277ccbc657f7,2026-03-02T01:10:00+00:00,player_rebounds_assists,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T18:00:57.950114-05:00,DAL Mavericks vs OKC Thunder (8:10 PM EST),Klay Thompson,Points,Over,12.5,-102,Caesars,1.91,30.0,10,False,"FD at -120, DK at -122, ESPN at -105, Pinnacle at -115",443,3d268484ec4724f35d87620826643242,2026-03-02T01:10:00+00:00,player_points,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T18:01:05.324584-05:00,DAL Mavericks vs OKC Thunder (8:10 PM EST),Cason Wallace,Rebounds Assists,Over,6.5,110,BetMGM,4.13,90.0,10,False,"FD at -111, DK at -105, ESPN at 105",56677833,3d268484ec4724f35d87620826643242,2026-03-02T01:10:00+00:00,player_rebounds_assists,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T18:01:19.592624-05:00,LAC Clippers vs NOP Pelicans (9:10 PM EST),Bennedict Mathurin,Threes,Under,1.5,-108,DraftKings,3.46,70.0,10,False,"FD at -132, DK at -108, ESPN at -125",38017686,7ef96743c87da2d41e5269fb5d3ac078,2026-03-02T02:10:00+00:00,player_threes,True,Void,DNP or no data,2026-03-02T08:12:37.983154+00:00,No game log found (possible DNP or API delay)
